Student Name,Event Name,Dept,College,City,District,feedback
Wesley Young,Startup Funding Summit,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3.0
Derrick Wright,Frontend Mastery Workshop,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,4.0
Katrina Li,Global AI Research Conference,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3.0
Zachary Baird,Ethical Hacking Workshop,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4.0
Dave Gaines,Startup Funding Summit,EEE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4.0
Bailey Vincent,Global Cybersecurity Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3.0
Wesley Chapman,Web Dev Con,CSE,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,4.0
Marvin Alexander,AI & Machine Learning Expo,AI&DS,PSG College of Technology,Coimbatore,Coimbatore,5.0
Devin Lopez,International Marathon,EEE,PSG College of Technology,Coimbatore,Coimbatore,1.0
Jessica Martinez,Global Cybersecurity Summit,CSBS,PSG College of Technology,Coimbatore,Coimbatore,5.0
Michelle Hughes,Reinforcement Learning Summit 2024,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,3.0
Ana Vargas,Startup Funding Summit,EEE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3.0
Nicole Rivas,Startup Funding Summit,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4.0
Samantha Allen,Quantum Computing in Practice Symposium,ECE,SRM Institute of Science and Technology,Chennai,Chennai,3.0
Randy Smith,Cybersecurity Expo 2024,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4.0
Nicole Lewis,Web Dev Con,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5.0
Courtney Palmer,Blockchain Summit 2024,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3.0
Sabrina Juarez,Reinforcement Learning Summit 2024,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,5.0
Michael Burton,International Marathon,EEE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3.0
Joann Davis,Global AI Research Conference,AI&DS,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,3.0
Jill Vaughn,Frontend Mastery Workshop,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5.0
Yolanda Gutierrez,Advanced Robotics Workshop,AI&DS,PSG College of Technology,Coimbatore,Coimbatore,3.0
Debra Abbott,Advanced Robotics Workshop,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3.0
Sherry Reed,Cybersecurity Expo 2024,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4.0
James Wright,Global Cybersecurity Summit,CSBS,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,3.0
Catherine Mcdonald,International Marathon,AI&DS,PSG College of Technology,Coimbatore,Coimbatore,1.0
Breanna Andrade,Ethical Hacking Workshop,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4.0
Craig Valenzuela,Blockchain Summit 2024,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4.0
Molly Watts,Quantum Computing in Practice Symposium,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4.0
Matthew Adams,Power Systems Conference,ECE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5.0
Alexander Kelley,Frontend Mastery Workshop,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5.0
Steven Smith,Global Cybersecurity Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5.0
Keith Floyd,Startup Funding Summit,EEE,SSN College of Engineering,Chennai,Chennai,4.0
Anna Hernandez,Web Dev Con,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,5.0
Sarah Orozco,Startup Funding Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4.0
Isaac Moreno,Reinforcement Learning Summit 2024,AI&DS,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,4.0
Jerry Cook,Startup Funding Summit,CSBS,PSG College of Technology,Coimbatore,Coimbatore,3.0
Patrick Hopkins,Startup Funding Summit,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,3.0
Margaret Tanner,Global AI Research Conference,AI&DS,SSN College of Engineering,Chennai,Chennai,3.0
Erin Cook,Ethical Hacking Workshop,CSBS,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,5.0
Rachel Bowman,Global Cybersecurity Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4.0
Ashley Daniels,International Marathon,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,1.0
Robert Armstrong,Electric Vehicle Expo,ECE,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,5.0
Alexander Serrano,Advanced Robotics Workshop,AI&DS,PSG College of Technology,Coimbatore,Coimbatore,3.0
Veronica Meyer,AI & Machine Learning Expo,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,4.0
