Student Name,Event Name,Dept,College,City,District,feedback
Anna Fisher,Mechatronics and Robotics Expo,MECH,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Ryan Meyer,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
James Ortega,Cyber Intelligence Summit,CSBS,Government College of Technology,Trichy,Trichy,5
Timothy Fox,Machine Learning for Finance Forum,AIML,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Andrew Flynn,Sustainable Building Workshop,CIVIL,SRM Institute of Science and Technology,Chennai,Chennai,5
Eric Johnson,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Ricky Dawson,Robotic Process Automation Summit,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
David Copeland,Space Tech Expo,CSE,Government College of Technology,Trichy,Trichy,2
Zachary Davis,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Thomas Potts,Cyber Intelligence Summit,CSBS,SRM Institute of Science and Technology,Chennai,Chennai,4
Patrick Allen,3D Printing Revolution Expo,MECH,SSN College of Engineering,Chennai,Chennai,4
Rodney Henderson,Autonomous Vehicle Expo,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Thomas Alvarez,Cyber Intelligence Summit,CSBS,Sathyabama University,Chennai,Chennai,4
Christopher Gregory Jr.,Hydropower Engineering Conference,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Sean Mejia,Smart Cities Forum,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Madison Hall,Smart Cities Forum,CIVIL,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Lindsey Lopez,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Charlene Williamson DVM,Sustainable Building Workshop,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Adam Bailey,Smart Cities Forum,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,2
Timothy Nicholson,Advanced Robotics Workshop,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Brian Gray,AI & Data Engineering Workshop,AI&DS,Government College of Technology,Trichy,Trichy,5
Richard Sanchez,Machine Learning for Finance Forum,AIML,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Anita Thomas,Robotic Process Automation Summit,CSE,SRM Institute of Science and Technology,Chennai,Chennai,4
Zachary Whitney,Cyber Intelligence Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
David Johnson,Bridge Engineering Workshop,CIVIL,Sathyabama University,Chennai,Chennai,2
Pam Orr,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Gabrielle Lee,Data Science & AI for Healthcare,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Cheryl Kane,Sustainable Building Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Melanie Jones,Space Tech Expo,CSE,Government College of Technology,Trichy,Trichy,4
Cathy Alexander,AI for Healthcare Symposium,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Gary Stone,Data Science & AI for Healthcare,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Tiffany Macias,Mechatronics and Robotics Expo,MECH,Sathyabama University,Chennai,Chennai,3
Kristina Brennan,AI for Healthcare Symposium,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Roberto Bryant,Mechatronics and Robotics Expo,MECH,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Jennifer Davis,AI for Healthcare Symposium,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Sarah Foster,Bridge Engineering Workshop,CIVIL,Sathyabama University,Chennai,Chennai,2
Gary Greene,Space Tech Expo,CSE,Government College of Technology,Trichy,Trichy,2
Michael Williamson,Advanced Robotics Workshop,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Nicole Clayton,Data Science & AI for Healthcare,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Todd Robertson,Blockchain for Supply Chains Summit,CSBS,Government College of Technology,Trichy,Trichy,4
Peter Peters,Data Science & AI for Healthcare,AI&DS,Government College of Technology,Trichy,Trichy,5
Karen Brown,Blockchain for Supply Chains Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Arthur Mercer,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
John Hill,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Juan Hansen,AI & Data Engineering Workshop,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Nancy Smith,3D Printing Revolution Expo,MECH,Government College of Technology,Trichy,Trichy,4
Mario Delgado,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Dominique Lawrence,Data Science & AI for Healthcare,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
David Hughes,Cyber Intelligence Summit,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Bobby Davis,Autonomous Vehicle Expo,ECE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Kristy Johnson,Sustainable Building Workshop,CIVIL,Government College of Technology,Trichy,Trichy,4
Brandon Edwards,Data Science & AI for Healthcare,AI&DS,Government College of Technology,Trichy,Trichy,4
Brian Russell,Sustainable Building Workshop,CIVIL,Government College of Technology,Trichy,Trichy,4
Ryan Norris,Sustainable Building Workshop,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Gregory Barrera,Data Science & AI for Healthcare,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Jennifer Davidson,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Lisa Mcdonald,Cyber Intelligence Summit,CSBS,Government College of Technology,Trichy,Trichy,4
Thomas Stark,AI & Data Engineering Workshop,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Justin Hutchinson,Autonomous Vehicle Expo,ECE,Government College of Technology,Trichy,Trichy,4
Thomas Hoffman,Blockchain for Supply Chains Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Stefanie Jones,Sustainable Building Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Rhonda Moody,Space Tech Expo,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Jessica James,Cyber Intelligence Summit,CSBS,SRM Institute of Science and Technology,Chennai,Chennai,4
Jill Owen,AI for Healthcare Symposium,AI&DS,SSN College of Engineering,Chennai,Chennai,4
Nicole Evans,Machine Learning for Finance Forum,AIML,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Diana Salazar,Cyber Intelligence Summit,CSBS,Government College of Technology,Trichy,Trichy,4
Anna Goodwin,Robotic Process Automation Summit,CSE,Government College of Technology,Trichy,Trichy,4
Brianna Beck,Smart Cities Forum,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Cory Cruz,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Amber Armstrong,Smart Cities Forum,CIVIL,SRM Institute of Science and Technology,Chennai,Chennai,3
Ryan Martin,3D Printing Revolution Expo,MECH,Government College of Technology,Trichy,Trichy,4
Traci Stone,Mechatronics and Robotics Expo,MECH,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Andrew Jones,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Tracy Evans,Machine Learning for Finance Forum,AIML,Government College of Technology,Trichy,Trichy,5
Casey Ramos,Data Science & AI for Healthcare,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
