Student Name,Event Name,Dept,College,City,District,feedback
Krishna Dhar,Deep Learning Online Workshop,CSBS,Bharathidasan University,Trichy,Trichy,4
Charles Lal,Industry Insights Panel,CSE,Anna University,Chennai,Chennai,4
Vanya Kaul,Entrepreneurship in Tech Talk Series,CSE,Bharathidasan University,Trichy,Trichy,5
Shaurya Parikh,Web Development with React Workshop,AI&DS,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,5
Netra Suresh,Cloud Computing with AWS Workshop,CSE,St. Joseph's College,Trichy,Trichy,5
Chatura Bandi,Cybersecurity Capture the Flag (CTF) Hackathon,CSE,St. Joseph's College,Trichy,Trichy,1
Shivansh Kapoor,Webinar on Quantum Computing,AI&DS,Bharathidasan University,Trichy,Trichy,4
Kashish Wable,Web Development with React Workshop,CSE,CIT College of Engineering,Coimbatore,Coimbatore,2
Ikbal Kohli,Tech for Good Challenge,CSBS,Bharathidasan University,Trichy,Trichy,1
Dalbir Sandhu,Blockchain and Cryptocurrencies Summit,EEE,St. Joseph's College,Trichy,Trichy,3
Samesh Dar,Kaggle Data Science Challenge,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,5
Yatin Narain,Blockchain and Smart Contracts Workshop,AI&DS,Anna University,Chennai,Chennai,3
Gayathri Mutti,Tech for Good Challenge,AI&DS,PSG College of Technology,Coimbatore,Coimbatore,4
Jalsa Murty,Innovation Week – Showcasing Student Projects,ECE,SASTRA Deemed to be University,Thanjavur,Thanjavur,2
Bhavika Nadkarni,Entrepreneurship in Tech Talk Series,CSE,Bharathidasan University,Trichy,Trichy,2
Devansh Tiwari,Virtual Career Fair,CSE,Bharathidasan University,Trichy,Trichy,3
Zaid Setty,Blockchain App Development Hackathon,AI&DS,SASTRA Deemed to be University,Thanjavur,Thanjavur,1
Rayaan Mall,GitHub Open Source Contribution Day,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Yasti Khurana,RoboWars - Autonomous Robot Battle,CSBS,CIT College of Engineering,Coimbatore,Coimbatore,3
Shravya Amble,Entrepreneurship in Tech Talk Series,EEE,NIT Trichy,Trichy,Trichy,3
Lakshit Bal,Tech & Cultural Fusion Fest,EEE,Bharathidasan University,Trichy,Trichy,2
Balvan Randhawa,Startup Expo and Job Fair,ECE,St. Joseph's College,Trichy,Trichy,2
Adweta Bhatnagar,IoT with Raspberry Pi and Arduino Workshop,EEE,Bharathidasan University,Trichy,Trichy,5
Leena Khurana,Mobile App Development (Android/iOS) Workshop,AI&DS,Bharathidasan University,Trichy,Trichy,4
Aarush Rout,Tech for Good Challenge,EEE,CIT College of Engineering,Coimbatore,Coimbatore,5
Maanas Raman,Big Data Analytics with Apache Spark,AI&DS,CIT College of Engineering,Coimbatore,Coimbatore,3
Jagat Ben,Big Data Analytics with Apache Spark,EEE,NIT Trichy,Trichy,Trichy,5
Tamanna Lanka,Tech for Good Challenge,AI&DS,NIT Trichy,Trichy,Trichy,4
Shivansh Keer,Tech for Good Challenge,EEE,NIT Trichy,Trichy,Trichy,4
Umang Shankar,Blockchain and Cryptocurrencies Summit,CSE,St. Joseph's College,Trichy,Trichy,4
Yatin Bumb,Virtual Career Fair,EEE,SASTRA Deemed to be University,Thanjavur,Thanjavur,5
Suhani Zacharia,Cybersecurity Trends & Innovations Seminar,AI&DS,Bharathidasan University,Trichy,Trichy,4
Anthony Karan,TechX – The Ultimate Tech Festival,ECE,CIT College of Engineering,Coimbatore,Coimbatore,4
Kamala Acharya,Alumni Networking Evening,CSBS,Bharathidasan University,Trichy,Trichy,1
Devansh Sankaran,TechX – The Ultimate Tech Festival,ECE,CIT College of Engineering,Coimbatore,Coimbatore,4
Charan Kurian,TechX – The Ultimate Tech Festival,CSBS,NIT Trichy,Trichy,Trichy,1
Anusha Khatri,Visit to Tesla's Gigafactory,CSBS,NIT Trichy,Trichy,Trichy,5
Tara Dhar,Web Development with React Workshop,CSE,NIT Trichy,Trichy,Trichy,0
Jagrati Basak,International Conference on AI and ML,AI&DS,Anna University,Chennai,Chennai,3
Lavanya Kothari,Blockchain App Development Hackathon,CSE,St. Joseph's College,Trichy,Trichy,5
Prisha Toor,Blockchain and Cryptocurrencies Summit,AI&DS,Thiagarajar College of Engineering,Madurai,Madurai,5
Panini Parmar,Blockchain and Cryptocurrencies Summit,ECE,St. Joseph's College,Trichy,Trichy,3
Yuvraj Borde,Tech & Cultural Fusion Fest,EEE,NIT Trichy,Trichy,Trichy,5
Harshil Shankar,Business Idea Pitch Competition,AI&DS,Bharathidasan University,Trichy,Trichy,5
Ria Kadakia,Cybersecurity Capture the Flag (CTF) Hackathon,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Hitesh Bahri,Sustainability Tech Expo,ECE,Bharathidasan University,Trichy,Trichy,5
Rajeshri Tank,Innovation Week – Showcasing Student Projects,ECE,St. Joseph's College,Trichy,Trichy,2
Amrita Sunder,Cybersecurity Trends & Innovations Seminar,EEE,NIT Trichy,Trichy,Trichy,5
Bahadurjit Bumb,Cybersecurity for Beginners Workshop,AI&DS,St. Joseph's College,Trichy,Trichy,4
Watika Jaggi,Entrepreneurship in Tech Talk Series,AI&DS,NIT Trichy,Trichy,Trichy,4
Pooja Yohannan,Techathon 2024,ECE,Amrita Vishwa Vidyapeetham,Coimbatore,Coimbatore,2
Chakradhar Narayan,Cybersecurity Capture the Flag (CTF) Hackathon,EEE,CIT College of Engineering,Coimbatore,Coimbatore,5
Vansha Grover,TechX – The Ultimate Tech Festival,CSBS,CIT College of Engineering,Coimbatore,Coimbatore,3
Vanya Lata,Blockchain App Development Hackathon,CSBS,Bharathidasan University,Trichy,Trichy,5
Yashawini Baria,Innovation Week – Showcasing Student Projects,EEE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Xiti Kapadia,Cloud Computing with AWS Workshop,AI&DS,Anna University,Chennai,Chennai,5
Deepa Walla,ACM ICPC Regional Coding Contest,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Andrew Wadhwa,Blockchain and Smart Contracts Workshop,CSE,St. Joseph's College,Trichy,Trichy,2
Devansh Ramachandran,Machine Learning with Python Workshop,CSBS,Bharathidasan University,Trichy,Trichy,3
Riya Chand,Business Idea Pitch Competition,EEE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Nakul Banik,Business Idea Pitch Competition,ECE,Bharathidasan University,Trichy,Trichy,2
Bachittar Memon,Webinar on Quantum Computing,ECE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,2
